x,y,z
37.6,-28.4,20.6
37.4,-27.1,18.7
37.8,-26.5,20.9
37.8,-27.5,19.3
37.4,-27.5,19.3
37.4,-27.1,19.3
38.6,-27.7,19.5
38.6,-28.3,18.5
37.6,-26.7,19.1
37.6,-28.3,17.1
39.1,-27.0,16.7
36.2,-28.2,18.3
39.5,-27.5,17.7
37.8,-26.5,19.7
36.6,-28.8,19.1
37.8,-27.1,18.7
37.4,-28.6,18.3
37.0,-28.4,19.1
39.9,-27.2,17.5
39.1,-26.4,17.3
36.6,-28.4,18.5
39.0,-29.6,17.3
38.5,-26.0,16.7
37.8,-28.6,18.7
38.4,-27.5,15.7
37.4,-27.5,16.3
39.9,-28.3,17.1
38.2,-27.7,18.1
39.5,-27.5,17.7
39.8,-29.3,14.9
39.8,-29.3,18.1
39.3,-27.7,17.5
39.2,-28.7,17.1
38.4,-27.0,17.3
38.2,-30.4,15.9
39.5,-27.4,17.3
38.6,-29.4,17.5
38.5,-26.4,16.7
37.4,-29.2,17.7
38.4,-28.1,17.3
39.9,-28.3,17.5
39.1,-26.4,15.7
38.4,-27.5,16.7
39.0,-29.1,16.7
38.2,-27.7,14.9
37.0,-28.7,15.9
38.2,-29.8,16.5
39.5,-26.0,16.3
